"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","363","363","363","431","431","431","446","446","446","483","483","483"
"B","364","364","364","432","432","432","448","448","448","484","484","484"
"C","365","365","365","433","433","433","449","449","449","486","486","486"
"D","421","421","421","434","434","434","450","450","450","487","487","487"
"E","422","422","422","435","435","435","459","459","459","488","488","488"
"F","423","423","423","436","436","436","460","460","460","control_neg","control_neg","control_neg"
"G","424","424","424","437","437","437","461","461","461","control_pos","control_pos","control_pos"
"H","430","430","430","439","439","439","482","482","482",NA,NA,NA
