SDS 2.3	Clipped	1.0
Well Nb	Reporter	Rn	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	Delta Rn	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
1	jimmy161209		1.9991404	1.9989897	1.9986267	2.0032094	1.9979283	2.0092752	1.9976572	1.9985714	1.9918293	2.0082786	1.997932	2.0061154	2.008705	2.0218122	2.046649	2.0754807	2.1357436	2.256345	2.432358	2.6869743	2.9933822	3.2643833	3.5643759	3.7978542	4.0211425	4.1572328	4.280068	4.3822136	4.4381166	4.4853177	4.5269647	4.5740466	4.5891194	4.608831	4.621226	4.64726	4.643651	4.6630464	4.6593347	4.675424	4.6767306	4.655973	4.6625915	4.6890435	4.6658854		8.4234186E-4	2.1036007E-4	-6.3393346E-4	0.0034674087	-0.0022949832	0.0085706515	-0.0035286676	-0.0030957528	-0.010319174	0.005648857	-0.005179095	0.0025230828	0.004631246	0.017257243	0.041612722	0.06996314	0.12974475	0.24986488	0.42539656	0.6795315	0.98545814	1.255978	1.5554892	1.7884862	2.0112932	2.146902	2.269256	2.3709204	2.426342	2.473062	2.5142276	2.5608282	2.5754197	2.59465	2.6065636	2.6321166	2.628026	2.6469402	2.6427472	2.6583552	2.6591806	2.6379416	2.6440787	2.6700494	2.6464102	
3	jimmy161209		1.9952193	1.9861813	1.9964737	1.9987317	2.010234	1.9999107	1.984655	1.9938091	1.9952294	1.9980272	2.0015614	1.997816	2.014081	2.0104449	2.0318232	2.068182	2.131631	2.243064	2.4244878	2.6827705	2.9802666	3.2833807	3.5546837	3.8054097	4.008926	4.150915	4.30657	4.3984013	4.475723	4.523459	4.55761	4.5773263	4.612889	4.6021585	4.6342034	4.650482	4.6494274	4.653966	4.666699	4.678408	4.6836066	4.6796975	4.6997514	4.6609373	4.7041745		0.0043129507	-0.0058830767	0.0032513973	0.004351523	0.014695971	0.0032146291	-0.013198997	-0.0052028527	-0.0049405303	-0.003300625	-9.243639E-4	-0.0058277375	0.00927936	0.004485302	0.024705645	0.05990654	0.12219751	0.2324726	0.41273856	0.6698633	0.9662014	1.2681577	1.5383027	1.7878708	1.990229	2.1310604	2.2855573	2.3762305	2.4523942	2.4989724	2.5319655	2.5505238	2.5849285	2.5730402	2.6039271	2.6190479	2.6168354	2.620216	2.6317909	2.6423423	2.6463828	2.6413157	2.6602116	2.6202397	2.662319	
5	jimmy161209		1.9883404	1.9990689	2.0033753	1.9996233	2.0073955	2.0021398	2.0027404	2.0053556	2.007888	2.0028565	2.0002067	2.004567	2.0162191	2.0223463	2.0391676	2.0745757	2.1375859	2.2540019	2.4470778	2.704486	2.9964218	3.319726	3.5964596	3.85091	4.046915	4.206764	4.2989154	4.419848	4.486123	4.52062	4.576496	4.58432	4.6134076	4.6321597	4.639576	4.646256	4.656452	4.6800494	4.6781735	4.676931	4.6714363	4.701	4.6982102	4.700489	4.714186		-0.0093093105	2.7261462E-4	0.0034324965	-0.0014660503	0.0051596034	-0.0012426494	-0.0017886267	-3.199669E-4	0.0010659616	-0.0051121777	-0.008908516	-0.00569487	0.0048108073	0.009791373	0.025466204	0.05972767	0.12159133	0.23686075	0.4287901	0.6850517	0.97584105	1.2979987	1.5735857	1.8268895	2.021748	2.1804507	2.2714553	2.3912413	2.4563699	2.48972	2.5444498	2.5511272	2.5790682	2.5966737	2.6029434	2.6084769	2.6175265	2.6399772	2.6369548	2.6345656	2.6279244	2.6563418	2.6524053	2.6535375	2.666088	
7	jimmy161209		2.0008283	2.0106404	2.010753	2.004142	2.009043	2.002692	1.999205	2.0032804	1.9967189	2.0015032	2.000579	2.0047965	1.9967461	1.9987184	2.0020182	1.9987764	2.0037382	1.9998211	2.0052412	2.0009518	1.9948949	2.0044923	1.9986614	1.9952642	1.9968566	1.9982437	2.0024974	2.0029364	2.006323	2.0023868	1.9995233	2.0039303	2.0068018	2.002693	2.0070794	2.0073836	1.9965949	1.9986016	2.0089958	2.0015943	2.008859	2.0075986	2.0151072	2.000563	2.0044045		-8.876902E-4	0.008877811	0.008943729	0.0022862433	0.00714056	7.429504E-4	-0.002790656	0.0012381364	-0.0053699967	-6.322666E-4	-0.0016029925	0.0025677783	-0.005529279	-0.0036035767	-3.503599E-4	-0.0036387527	0.0012763607	-0.0026873527	0.0026861206	-0.0016498836	-0.007753404	0.0017974013	-0.004080098	-0.00752394	-0.0059781577	-0.004637654	-4.3052438E-4	-3.8211267E-5	0.0033019092	-6.8099704E-4	-0.0035911389	7.6929387E-4	0.0035941917	-5.6132954E-4	0.00377848	0.0040360866	-0.006799208	-0.0048391735	0.0055084266	-0.0019396553	0.0052783433	0.0039714472	0.011433348	-0.003157516	6.3750707E-4	
9	jimmy161209		1.9963812	2.0041535	2.005807	2.0028872	1.998156	1.9999624	1.9972315	1.9941639	1.9989916	1.9957933	2.0000167	1.9996732	1.9945904	1.997382	1.9987091	2.0036402	1.9970537	2.0062914	1.9938215	2.0019696	2.0063999	1.9919105	1.9989285	1.9953383	2.0060995	1.9995699	2.0012567	2.0024836	2.0054638	1.999761	1.9971929	2.0127351	2.0130556	2.0160263	2.0216	2.0267544	2.0549028	2.0988863	2.1773648	2.3141968	2.5337079	2.82989	3.1486075	3.4649117	3.7692575		0.0012307237	0.008598915	0.009848214	0.006524406	0.0013889738	0.002791337	-3.4376312E-4	-0.0038155103	6.080931E-4	-0.0029943073	8.249049E-4	7.732849E-5	-0.0054096514	-0.003022143	-0.0020992395	0.0024277181	-0.0045628487	0.004270664	-0.008603359	-8.594186E-4	0.003166741	-0.011726806	-0.005112851	-0.009107212	0.0012497958	-0.0056839082	-0.004401231	-0.0035784638	-0.001002366	-0.007109354	-0.010081613	0.0050565205	0.0049728206	0.0075393817	0.012708996	0.017459234	0.04520351	0.08878284	0.16685727	0.30328515	0.52239203	0.8181701	1.1364834	1.4523835	1.7563252	
11	jimmy161209		1.9782137	1.977986	1.9814296	1.9828085	1.9787849	1.9795567	1.9758216	1.9782686	1.9815987	1.9801316	1.9811636	1.9733477	1.9778128	1.9737173	1.976833	1.9684175	1.977777	1.9633045	1.9773237	1.9766153	1.9764671	1.9902817	1.979991	1.9806943	1.9784106	1.9792975	1.9889646	1.9772941	1.9896879	1.9832598	1.9803457	1.9852225	1.9843036	1.9843351	1.9839557	1.9922909	1.9803537	1.9866533	1.9912273	1.9843801	1.9878544	1.983079	1.9919004	1.9826283	1.9902573		0.0030115547	0.0025142273	0.005688188	0.006797444	0.0025042545	0.0030063775	-9.983258E-4	0.0011790455	0.004239519	0.0025027727	0.0032651296	-0.004820465	-6.2499987E-4	-0.004990073	-0.0021440566	-0.010829155	-0.001739314	-0.016481437	-0.0027319426	-0.0037099218	-0.004127737	0.009417194	-0.001143186	-7.09489E-4	-0.0032628193	-0.0026455398	0.0067518614	-0.0051882467	0.0069359476	2.3818723E-4	-0.0029455216	0.0016615733	4.730703E-4	2.3490374E-4	-4.1405804E-4	0.0076514175	-0.0045553613	0.0014746155	0.005778919	-0.0013378621	0.0018667356	-0.003178307	0.0053735427	-0.004168194	0.003191086	
13	jimmy161209		1.9985429	1.9966208	1.9989667	1.9900407	1.9935988	1.9987017	1.9940423	1.9984341	1.9880413	1.991311	1.9865686	1.994165	1.99011	1.9884858	1.9909029	1.9888154	1.9882951	1.9877204	1.9903558	1.9945248	1.9911095	1.9872919	1.9885153	1.9808539	1.9915409	1.9889679	1.9857354	1.9905237	1.9896983	1.9925152	1.9811083	1.9914433	1.9880381	1.9888722	1.9834253	2.000428	1.9913454	1.9940532	1.9895784	1.9882492	1.9933681	1.9958969	2.002349	2.0029306	2.0043294		0.007783974	0.0058229794	0.008130034	-8.348631E-4	0.0026844316	0.0077484404	0.0030501622	0.0074030873	-0.0030285616	2.022468E-4	-0.004579001	0.0029785084	-0.0011152597	-0.0027783504	-4.0012682E-4	-0.0025264646	-0.0030856773	-0.0036992494	-0.0011026344	0.0030274887	-4.2672138E-4	-0.0042831437	-0.003098682	-0.010798888	-1.5075912E-4	-0.0027626364	-0.00603398	-0.0012845641	-0.0021488334	6.292182E-4	-0.010816544	-5.204398E-4	-0.0039645173	-0.003169274	-0.008655049	0.008308789	-8.1263087E-4	0.001856344	-0.0026573983	-0.004025446	0.0010546562	0.0035445788	0.00995768	0.010500557	0.0118604945	
15	jimmy161209		1.9773334	1.9686033	1.9819694	1.9872392	1.9838401	1.9914268	1.9898354	1.9881659	1.9922329	1.9853319	1.9856635	1.9810624	1.9845802	1.9847528	1.9880123	1.9850448	1.9840842	1.9862219	1.9782878	1.9822844	1.9951553	1.9886427	1.9856133	1.9901805	1.9910164	1.9875191	1.982068	1.9899696	1.9886864	1.9839405	1.986528	1.9934975	1.9929944	1.989123	1.9890529	1.9883847	1.9902583	1.9906546	1.9862232	1.9941316	1.9944048	2.0006955	1.9957579	1.9997903	1.9943179		-0.0047811093	-0.0137781575	-6.789291E-4	0.004324081	6.580723E-4	0.007977915	0.006119596	0.0041831946	0.007983383	8.154824E-4	8.802477E-4	-0.003987748	-7.3687633E-4	-8.311363E-4	0.0021615284	-0.0010728235	-0.002300287	-4.2950094E-4	-0.008630469	-0.004900734	0.007703299	9.237821E-4	-0.0023724393	0.001927832	0.0024968525	-0.0012672654	-0.0069853426	6.494508E-4	-9.0059295E-4	-0.005913428	-0.0035927463	0.0031098307	0.0023398923	-0.0017984235	-0.0021353934	-0.0030704367	-0.0014636992	-0.0013343225	-0.006032564	0.0016089049	0.0016152576	0.007639057	0.0024346523	0.0062001506	4.608541E-4	
17	jimmy161209		1.9679909	1.9750789	1.9763914	1.974042	1.9717294	1.9716526	1.9697847	1.9663005	1.9717102	1.9706744	1.9653033	1.979359	1.9722933	1.9734621	1.9739555	1.9747919	1.9758009	1.9675107	1.9776101	1.973533	1.9734049	1.9779886	1.9724865	1.9668306	1.9778067	1.9714528	1.9730664	1.9755033	1.9739398	1.9747959	1.976987	1.9811679	1.9734875	1.974171	1.976882	1.9806027	1.9859695	1.9746491	1.9811378	1.9801589	1.9824733	1.9840007	1.9934478	1.9805899	1.9877928		-0.0011520352	0.0056436164	0.006663697	0.0040219068	0.0014168327	0.0010476483	-0.0011126559	-0.0048893187	2.2798526E-4	-0.001100238	-0.0067637456	0.00699957	-3.586168E-4	5.1781663E-4	7.188102E-4	0.0012627689	0.0019793427	-0.006603243	0.0032037548	-0.0011657359	-0.0015862996	0.0027050031	-0.0030895153	-0.009037814	0.0016458487	-0.00500042	-0.0036792168	-0.0015347542	-0.0033907169	-0.0028269694	-9.283164E-4	0.002960178	-0.0050126514	-0.0046215192	-0.0022029944	0.0012253522	0.0062997406	-0.0053131445	8.831225E-4	-3.8811867E-4	0.0016337968	0.0028688118	0.0120234955	-0.0011268317	0.0057837376	
