SDS 2.3	Background Spectra	1.0
Well Nb	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
20	822.5714	835.1429	862.3571	878.7143	882.0	887.8571	903.0	921.7143	927.7143	936.5714	938.9286	946.1429	944.1429	937.7857	937.2143	931.6429	924.0	914.4286	918.7143	914.7143	912.9286	913.2857	903.9286	902.2143	904.4286	899.2857	896.7857	898.5714	897.5714	887.3571	884.1429	879.4286
21	814.9286	841.5714	856.3571	883.3571	882.0	893.0714	906.0714	923.2857	935.0714	939.0	948.5	948.2143	946.2857	951.1429	939.0	935.5	933.7857	916.6429	923.2143	916.8571	915.7143	913.2857	908.6429	905.5714	903.0714	901.2857	898.9286	900.6429	895.9286	895.2143	884.5714	883.3571
22	817.2857	843.9286	865.2143	883.8571	890.9286	901.6429	917.1429	924.8571	941.7857	953.7143	957.5714	959.6429	959.2143	954.5714	948.7857	942.5714	939.2143	934.7857	931.2143	926.6429	926.0714	922.5714	915.9286	912.5714	913.7857	913.6429	907.8571	907.0714	909.7857	901.0	898.4286	890.5714
23	822.7143	842.2857	863.4286	884.5	878.7857	894.6429	908.0714	921.6429	928.7143	936.0714	941.0714	939.5714	937.1429	939.8571	937.2143	931.4286	925.9286	921.5714	918.4286	914.4286	914.9286	910.2143	903.7143	901.5714	900.1429	892.6429	894.2143	893.4286	890.0714	896.5	885.4286	881.5714
24	820.06665	839.0	870.73334	882.06665	883.5333	900.5333	915.8	926.6667	938.86664	948.26666	951.6	957.93335	952.8	949.8	941.4667	942.2	933.86664	928.86664	922.26666	921.13336	915.0	917.0	915.2	914.3333	905.4667	904.6	902.86664	906.5333	903.5333	902.3333	896.8	891.13336
25	822.4286	837.2857	849.2857	870.7857	874.0	885.2857	899.7857	910.0714	914.7857	927.0714	933.4286	929.2857	932.5714	930.4286	928.7857	924.7857	919.3571	914.2857	916.5	906.7857	907.6429	899.1429	897.7143	899.0	894.5	893.1429	892.3571	890.2143	893.9286	892.5714	883.4286	878.4286
26	821.7857	830.1429	850.0714	870.3571	873.3571	893.2143	905.0714	912.7143	922.3571	933.4286	937.5714	940.5714	942.0714	931.5714	936.7857	928.3571	922.1429	918.5714	912.2857	914.9286	909.4286	909.7143	904.1429	900.9286	902.9286	899.9286	899.0	896.2857	896.0	892.2143	887.7857	889.2857
27	817.7143	840.0714	853.7143	868.8571	874.7857	884.0	902.2143	915.2857	925.0714	932.9286	938.9286	940.7143	940.2857	936.0714	929.2143	927.7143	923.8571	918.7143	909.7143	905.7857	910.1429	907.6429	908.3571	902.0714	906.3571	899.0714	896.9286	894.2857	900.0714	892.2143	885.7143	881.5714
28	817.5714	835.6429	845.7143	863.7857	874.7143	886.7143	902.5	914.2857	918.0	934.0	938.4286	936.5714	936.4286	929.9286	930.7857	931.2143	922.8571	916.0	904.8571	914.8571	914.7143	896.7857	902.7857	894.9286	898.2143	896.2143	890.7143	893.6429	895.5	891.7143	887.8571	881.2857
29	820.3571	833.8571	850.5714	861.1429	874.2143	888.4286	903.2857	912.0714	924.7143	934.2143	938.9286	940.5	939.5714	936.2857	930.5714	925.1429	920.7857	920.6429	918.7857	915.0714	910.7857	905.8571	900.6429	903.3571	904.2857	900.6429	895.8571	895.0	892.8571	887.8571	887.8571	886.5
