"std_1","std_1","std_1","SKA-001","SKA-001","SKA-001","SKA-057","SKA-057","SKA-057","SKA-075","SKA-075","SKA-075"
"std_0.1","std_0.1","std_0.1","SKA-002","SKA-002","SKA-002","SKA-058","SKA-058","SKA-058","SKA-076","SKA-076","SKA-076"
"std_0.01","std_0.01","std_0.01","SKA-003","SKA-003","SKA-003","SKA-062","SKA-062","SKA-062","SKA-077","SKA-077","SKA-077"
"std_0.001","std_0.001","std_0.001","SKA-004","SKA-004","SKA-004","SKA-063","SKA-063","SKA-063","SKA-078","SKA-078","SKA-078"
"std_1e-04","std_1e-04","std_1e-04","SKA-025","SKA-025","SKA-025","SKA-064","SKA-064","SKA-064","SKA-096","SKA-096","SKA-096"
"std_1e-05","std_1e-05","std_1e-05","SKA-026","SKA-026","SKA-026","SKA-069","SKA-069","SKA-069","SKA-097","SKA-097","SKA-097"
"std_1e-06","std_1e-06","std_1e-06","SKA-027","SKA-027","SKA-027","SKA-070","SKA-070","SKA-070","SKA-098","SKA-098","SKA-098"
"std_0","std_0","std_0","SKA-028","SKA-028","SKA-028","SKA-071","SKA-071","SKA-071","SKA-099","SKA-099","SKA-099"
