"template_type","template_name","template_conc","template_rep","plate_row","plate_col","plate_well"
"standard","std_1",1,1,"A",1,"A1"
NA,NA,NA,NA,"B",1,"B1"
"standard","std_0.1",0.1,2,"C",1,"C1"
NA,NA,NA,NA,"D",1,"D1"
"standard","std_0.01",0.01,3,"E",1,"E1"
NA,NA,NA,NA,"F",1,"F1"
"standard","std_0.001",0.001,1,"G",1,"G1"
NA,NA,NA,NA,"H",1,"H1"
"standard","std_1e-04",1e-04,2,"I",1,"I1"
NA,NA,NA,NA,"J",1,"J1"
"standard","std_1e-05",1e-05,3,"K",1,"K1"
NA,NA,NA,NA,"L",1,"L1"
"standard","std_1e-06",1e-06,1,"M",1,"M1"
NA,NA,NA,NA,"N",1,"N1"
"standard","std_0",0,2,"O",1,"O1"
NA,NA,NA,NA,"P",1,"P1"
NA,NA,NA,NA,"A",2,"A2"
NA,NA,NA,NA,"B",2,"B2"
NA,NA,NA,NA,"C",2,"C2"
NA,NA,NA,NA,"D",2,"D2"
NA,NA,NA,NA,"E",2,"E2"
NA,NA,NA,NA,"F",2,"F2"
NA,NA,NA,NA,"G",2,"G2"
NA,NA,NA,NA,"H",2,"H2"
NA,NA,NA,NA,"I",2,"I2"
NA,NA,NA,NA,"J",2,"J2"
NA,NA,NA,NA,"K",2,"K2"
NA,NA,NA,NA,"L",2,"L2"
NA,NA,NA,NA,"M",2,"M2"
NA,NA,NA,NA,"N",2,"N2"
NA,NA,NA,NA,"O",2,"O2"
NA,NA,NA,NA,"P",2,"P2"
"standard","std_1",1,3,"A",3,"A3"
NA,NA,NA,NA,"B",3,"B3"
"standard","std_0.1",0.1,1,"C",3,"C3"
NA,NA,NA,NA,"D",3,"D3"
"standard","std_0.01",0.01,2,"E",3,"E3"
NA,NA,NA,NA,"F",3,"F3"
"standard","std_0.001",0.001,3,"G",3,"G3"
NA,NA,NA,NA,"H",3,"H3"
"standard","std_1e-04",1e-04,1,"I",3,"I3"
NA,NA,NA,NA,"J",3,"J3"
"standard","std_1e-05",1e-05,2,"K",3,"K3"
NA,NA,NA,NA,"L",3,"L3"
"standard","std_1e-06",1e-06,3,"M",3,"M3"
NA,NA,NA,NA,"N",3,"N3"
"standard","std_0",0,1,"O",3,"O3"
NA,NA,NA,NA,"P",3,"P3"
NA,NA,NA,NA,"A",4,"A4"
NA,NA,NA,NA,"B",4,"B4"
NA,NA,NA,NA,"C",4,"C4"
NA,NA,NA,NA,"D",4,"D4"
NA,NA,NA,NA,"E",4,"E4"
NA,NA,NA,NA,"F",4,"F4"
NA,NA,NA,NA,"G",4,"G4"
NA,NA,NA,NA,"H",4,"H4"
NA,NA,NA,NA,"I",4,"I4"
NA,NA,NA,NA,"J",4,"J4"
NA,NA,NA,NA,"K",4,"K4"
NA,NA,NA,NA,"L",4,"L4"
NA,NA,NA,NA,"M",4,"M4"
NA,NA,NA,NA,"N",4,"N4"
NA,NA,NA,NA,"O",4,"O4"
NA,NA,NA,NA,"P",4,"P4"
"standard","std_1",1,2,"A",5,"A5"
NA,NA,NA,NA,"B",5,"B5"
"standard","std_0.1",0.1,3,"C",5,"C5"
NA,NA,NA,NA,"D",5,"D5"
"standard","std_0.01",0.01,1,"E",5,"E5"
NA,NA,NA,NA,"F",5,"F5"
"standard","std_0.001",0.001,2,"G",5,"G5"
NA,NA,NA,NA,"H",5,"H5"
"standard","std_1e-04",1e-04,3,"I",5,"I5"
NA,NA,NA,NA,"J",5,"J5"
"standard","std_1e-05",1e-05,1,"K",5,"K5"
NA,NA,NA,NA,"L",5,"L5"
"standard","std_1e-06",1e-06,2,"M",5,"M5"
NA,NA,NA,NA,"N",5,"N5"
"standard","std_0",0,3,"O",5,"O5"
NA,NA,NA,NA,"P",5,"P5"
NA,NA,NA,NA,"A",6,"A6"
NA,NA,NA,NA,"B",6,"B6"
NA,NA,NA,NA,"C",6,"C6"
NA,NA,NA,NA,"D",6,"D6"
NA,NA,NA,NA,"E",6,"E6"
NA,NA,NA,NA,"F",6,"F6"
NA,NA,NA,NA,"G",6,"G6"
NA,NA,NA,NA,"H",6,"H6"
NA,NA,NA,NA,"I",6,"I6"
NA,NA,NA,NA,"J",6,"J6"
NA,NA,NA,NA,"K",6,"K6"
NA,NA,NA,NA,"L",6,"L6"
NA,NA,NA,NA,"M",6,"M6"
NA,NA,NA,NA,"N",6,"N6"
NA,NA,NA,NA,"O",6,"O6"
NA,NA,NA,NA,"P",6,"P6"
"sample","SKA007_0.1",0.1,1,"A",7,"A7"
NA,NA,NA,NA,"B",7,"B7"
"sample","SKA008_0.1",0.1,2,"C",7,"C7"
NA,NA,NA,NA,"D",7,"D7"
"sample","SKA009_0.1",0.1,3,"E",7,"E7"
NA,NA,NA,NA,"F",7,"F7"
"sample","SKA010_0.1",0.1,1,"G",7,"G7"
NA,NA,NA,NA,"H",7,"H7"
"sample","SKA007_0.01",0.1,2,"I",7,"I7"
NA,NA,NA,NA,"J",7,"J7"
"sample","SKA008_0.01",0.1,3,"K",7,"K7"
NA,NA,NA,NA,"L",7,"L7"
"sample","SKA009_0.01",0.1,1,"M",7,"M7"
NA,NA,NA,NA,"N",7,"N7"
"sample","SKA010_0.01",0.1,2,"O",7,"O7"
NA,NA,NA,NA,"P",7,"P7"
NA,NA,NA,NA,"A",8,"A8"
NA,NA,NA,NA,"B",8,"B8"
NA,NA,NA,NA,"C",8,"C8"
NA,NA,NA,NA,"D",8,"D8"
NA,NA,NA,NA,"E",8,"E8"
NA,NA,NA,NA,"F",8,"F8"
NA,NA,NA,NA,"G",8,"G8"
NA,NA,NA,NA,"H",8,"H8"
NA,NA,NA,NA,"I",8,"I8"
NA,NA,NA,NA,"J",8,"J8"
NA,NA,NA,NA,"K",8,"K8"
NA,NA,NA,NA,"L",8,"L8"
NA,NA,NA,NA,"M",8,"M8"
NA,NA,NA,NA,"N",8,"N8"
NA,NA,NA,NA,"O",8,"O8"
NA,NA,NA,NA,"P",8,"P8"
"sample","SKA007_0.1",0.1,3,"A",9,"A9"
NA,NA,NA,NA,"B",9,"B9"
"sample","SKA008_0.1",0.1,1,"C",9,"C9"
NA,NA,NA,NA,"D",9,"D9"
"sample","SKA009_0.1",0.1,2,"E",9,"E9"
NA,NA,NA,NA,"F",9,"F9"
"sample","SKA010_0.1",0.1,3,"G",9,"G9"
NA,NA,NA,NA,"H",9,"H9"
"sample","SKA007_0.01",0.1,1,"I",9,"I9"
NA,NA,NA,NA,"J",9,"J9"
"sample","SKA008_0.01",0.1,2,"K",9,"K9"
NA,NA,NA,NA,"L",9,"L9"
"sample","SKA009_0.01",0.1,3,"M",9,"M9"
NA,NA,NA,NA,"N",9,"N9"
"sample","SKA010_0.01",0.1,1,"O",9,"O9"
NA,NA,NA,NA,"P",9,"P9"
NA,NA,NA,NA,"A",10,"A10"
NA,NA,NA,NA,"B",10,"B10"
NA,NA,NA,NA,"C",10,"C10"
NA,NA,NA,NA,"D",10,"D10"
NA,NA,NA,NA,"E",10,"E10"
NA,NA,NA,NA,"F",10,"F10"
NA,NA,NA,NA,"G",10,"G10"
NA,NA,NA,NA,"H",10,"H10"
NA,NA,NA,NA,"I",10,"I10"
NA,NA,NA,NA,"J",10,"J10"
NA,NA,NA,NA,"K",10,"K10"
NA,NA,NA,NA,"L",10,"L10"
NA,NA,NA,NA,"M",10,"M10"
NA,NA,NA,NA,"N",10,"N10"
NA,NA,NA,NA,"O",10,"O10"
NA,NA,NA,NA,"P",10,"P10"
"sample","SKA007_0.1",0.1,2,"A",11,"A11"
NA,NA,NA,NA,"B",11,"B11"
"sample","SKA008_0.1",0.1,3,"C",11,"C11"
NA,NA,NA,NA,"D",11,"D11"
"sample","SKA009_0.1",0.1,1,"E",11,"E11"
NA,NA,NA,NA,"F",11,"F11"
"sample","SKA010_0.1",0.1,2,"G",11,"G11"
NA,NA,NA,NA,"H",11,"H11"
"sample","SKA007_0.01",0.1,3,"I",11,"I11"
NA,NA,NA,NA,"J",11,"J11"
"sample","SKA008_0.01",0.1,1,"K",11,"K11"
NA,NA,NA,NA,"L",11,"L11"
"sample","SKA009_0.01",0.1,2,"M",11,"M11"
NA,NA,NA,NA,"N",11,"N11"
"sample","SKA010_0.01",0.1,3,"O",11,"O11"
NA,NA,NA,NA,"P",11,"P11"
NA,NA,NA,NA,"A",12,"A12"
NA,NA,NA,NA,"B",12,"B12"
NA,NA,NA,NA,"C",12,"C12"
NA,NA,NA,NA,"D",12,"D12"
NA,NA,NA,NA,"E",12,"E12"
NA,NA,NA,NA,"F",12,"F12"
NA,NA,NA,NA,"G",12,"G12"
NA,NA,NA,NA,"H",12,"H12"
NA,NA,NA,NA,"I",12,"I12"
NA,NA,NA,NA,"J",12,"J12"
NA,NA,NA,NA,"K",12,"K12"
NA,NA,NA,NA,"L",12,"L12"
NA,NA,NA,NA,"M",12,"M12"
NA,NA,NA,NA,"N",12,"N12"
NA,NA,NA,NA,"O",12,"O12"
NA,NA,NA,NA,"P",12,"P12"
"sample","SKA091_0.1",0.1,1,"A",13,"A13"
NA,NA,NA,NA,"B",13,"B13"
"sample","SKA092_0.1",0.1,2,"C",13,"C13"
NA,NA,NA,NA,"D",13,"D13"
"sample","SKA093_0.1",0.1,3,"E",13,"E13"
NA,NA,NA,NA,"F",13,"F13"
"sample","SKA094_0.1",0.1,1,"G",13,"G13"
NA,NA,NA,NA,"H",13,"H13"
"sample","SKA091_0.01",0.1,2,"I",13,"I13"
NA,NA,NA,NA,"J",13,"J13"
"sample","SKA092_0.01",0.1,3,"K",13,"K13"
NA,NA,NA,NA,"L",13,"L13"
"sample","SKA093_0.01",0.1,1,"M",13,"M13"
NA,NA,NA,NA,"N",13,"N13"
"sample","SKA094_0.01",0.1,2,"O",13,"O13"
NA,NA,NA,NA,"P",13,"P13"
NA,NA,NA,NA,"A",14,"A14"
NA,NA,NA,NA,"B",14,"B14"
NA,NA,NA,NA,"C",14,"C14"
