SDS 2.4	AQ Results	1.0
Filename	CYAGCYTB-170829-B
PlateID	
Assay Type	Absolute Quantification
Run DateTime	8/29/17 6:27:37 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
125	F5	CYAG-F1	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.05528502						true			true				
126	F6	CYAG-F1	FAM	Unknown	36.165802			4.885302E-6						Automatic Ct		Automatic			Automatic	0.05528502													
127	F7	CYAG-F1	FAM	Unknown	36.661358			3.656845E-6						Automatic Ct		Automatic			Automatic	0.05528502													
128	F8	CYAG-F1	FAM	Unknown	34.97476			9.799604E-6						Automatic Ct		Automatic			Automatic	0.05528502													
129	F9	CYAG-F1	FAM	Unknown	35.88254			5.7648745E-6						Automatic Ct		Automatic			Automatic	0.05528502													
145	G1	CYAG-F1	FAM	Standard	Undetermined			1.0E-6						Automatic Ct		Automatic			Automatic	0.05528502						true			true				
146	G2	CYAG-F1	FAM	Standard	Undetermined			1.0E-6						Automatic Ct		Automatic			Automatic	0.05528502						true			true				
147	G3	CYAG-F1	FAM	Standard	Undetermined			1.0E-6						Automatic Ct		Automatic			Automatic	0.05528502						true			true				
148	G4	CYAG-F1	FAM	Unknown	33.73253			2.0254316E-5						Automatic Ct		Automatic			Automatic	0.05528502													
149	G5	CYAG-F1	FAM	Unknown	35.72993			6.3026937E-6						Automatic Ct		Automatic			Automatic	0.05528502													
150	G6	CYAG-F1	FAM	Unknown	34.57074			1.2409623E-5						Automatic Ct		Automatic			Automatic	0.05528502													
151	G7	CYAG-F1	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.05528502						true			true				
152	G8	CYAG-F1	FAM	Unknown	34.278767			1.4718672E-5						Automatic Ct		Automatic			Automatic	0.05528502													
153	G9	CYAG-F1	FAM	Unknown	36.49837			4.022323E-6						Automatic Ct		Automatic			Automatic	0.05528502													
169	H1	CYAG-F1	FAM	NTC	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.05528502						true							
170	H2	CYAG-F1	FAM	NTC	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.05528502						true							
171	H3	CYAG-F1	FAM	NTC	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.05528502						true							
172	H4	CYAG-F1	FAM	Unknown	33.350643			2.5319174E-5						Automatic Ct		Automatic			Automatic	0.05528502													
173	H5	CYAG-F1	FAM	Unknown	33.707			2.055878E-5						Automatic Ct		Automatic			Automatic	0.05528502													
174	H6	CYAG-F1	FAM	Unknown	35.141384			8.890262E-6						Automatic Ct		Automatic			Automatic	0.05528502													
175	H7	CYAG-F1	FAM	Unknown	37.01362			2.9764176E-6						Automatic Ct		Automatic			Automatic	0.05528502						true							
176	H8	CYAG-F1	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.05528502						true			true				
177	H9	CYAG-F1	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.05528502						true			true				
Slope	-3.939718	cycles/log decade
Y-Intercept		15.241532
R^2		0.99212986



NAP	LPL
	
