param_type,param_name,uL_per_rxn,uL_batch
mastermix,TaqMan Environmental Master Mix 2.0,5,2110
primer,USGS-CKCO3-F,0.9,379.8
primer,USGS-CKCO3-R,0.9,379.8
probe,see ref,0.2,84.4
water,water,0,0
template,eDNA - 3 uL per 10uL rxn,3,
