SDS 2.3	Absolute QuantificationResults	1.0
Filename	CKCO3-161209
PlateID	
Assay Type	Absolute Quantification
Run DateTime	12/9/16 7:24:21 PM
Operator	
ThermalCycleParams	

Sample Information

Position	Flag	Sample	Detector	Task	Ct	Ct Median	Quantity	Qty mean	Qty stddev	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
O5	Flagged	O5	jimmy161209	NTC	Undetermined		0.0								true							
O6	Flagged	O6	jimmy161209	Unknown	Undetermined		0.0						true		true							
O7	Flagged	O7	jimmy161209	Unknown	Undetermined		0.0								true			true				
O8	Flagged	O8	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
O9	Flagged	O9	jimmy161209	Unknown	Undetermined		0.0								true			true				
O10	Flagged	O10	jimmy161209	Unknown	25.688858		0.0012127445						true		true							
O11	Flagged	O11	jimmy161209	Unknown	Undetermined		0.0								true			true				
O12	Flagged	O12	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
O13	Passed	O13	jimmy161209	Unknown	31.744568		3.5253295E-5															
O14	Flagged	O14	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
O15	Passed	O15	jimmy161209	Unknown	31.535343		3.983712E-5															
O16	Flagged	O16	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
O17	Passed	O17	jimmy161209	Unknown	31.608433		3.817177E-5															
O18	Flagged	O18	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
O19	Flagged	O19	jimmy161209	Unknown	Undetermined		0.0								true			true				
O20	Flagged	O20	jimmy161209	Unknown	40.071465		2.7185726E-7						true		true							
O21	Flagged	O21	jimmy161209	Unknown	Undetermined		0.0								true			true				
O22	Flagged	O22	jimmy161209	Unknown	Undetermined		0.0						true		true							
O23	Flagged	O23	jimmy161209	Unknown	Undetermined		0.0								true			true				
O24	Flagged	O24	jimmy161209	Unknown	21.014208		0.018617032						true		true							
P1	Flagged	P1	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P2	Flagged	P2	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P3	Flagged	P3	jimmy161209	Unknown	40.60697		1.9882084E-7						true		true							
P4	Flagged	P4	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P5	Flagged	P5	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P6	Flagged	P6	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P7	Flagged	P7	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P8	Flagged	P8	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P9	Flagged	P9	jimmy161209	Unknown	Undetermined		0.0						true					true				
P10	Flagged	P10	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P11	Flagged	P11	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P12	Flagged	P12	jimmy161209	Unknown	2.681993		834.65936						true		true							
P13	Flagged	P13	jimmy161209	Unknown	Undetermined		0.0						true					true			true	
P14	Flagged	P14	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P15	Flagged	P15	jimmy161209	Unknown	Undetermined		0.0						true					true				
P16	Flagged	P16	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P17	Flagged	P17	jimmy161209	Unknown	Undetermined		0.0						true					true				
P18	Flagged	P18	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P19	Flagged	P19	jimmy161209	Unknown	4.447885		297.46338						true		true							
P20	Flagged	P20	jimmy161209	Unknown	30.142982		8.986368E-5						true		true							
P21	Flagged	P21	jimmy161209	Unknown	Undetermined		0.0						true		true							
P22	Flagged	P22	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P23	Flagged	P23	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
P24	Flagged	P24	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
