SDS 2.3	Absolute QuantificationResults	1.0
Filename	CKCO3-161209
PlateID	
Assay Type	Absolute Quantification
Run DateTime	12/9/16 7:24:21 PM
Operator	
ThermalCycleParams	

Sample Information

Position	Flag	Sample	Detector	Task	Ct	Ct Median	Quantity	Qty mean	Qty stddev	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
D7	Flagged	D7	jimmy161209	Unknown	36.39049		2.335324E-6						true		true							
D8	Flagged	D8	jimmy161209	Unknown	27.167904		5.110666E-4						true		true							
D9	Flagged	D9	jimmy161209	Unknown	38.72437		5.972438E-7						true									
D10	Flagged	D10	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
D11	Flagged	D11	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
D12	Flagged	D12	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
D13	Flagged	D13	jimmy161209	Unknown	Undetermined		0.0						true					true				
D14	Flagged	D14	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
D15	Flagged	D15	jimmy161209	Unknown	Undetermined		0.0						true								true	
D16	Flagged	D16	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
D17	Flagged	D17	jimmy161209	Unknown	Undetermined		0.0						true								true	
D18	Flagged	D18	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
D19	Flagged	D19	jimmy161209	Unknown	28.125057		2.921531E-4						true		true							
D20	Flagged	D20	jimmy161209	Unknown	38.362343		7.379237E-7						true		true							
D21	Flagged	D21	jimmy161209	Unknown	36.187286		2.6297141E-6						true									
D22	Flagged	D22	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
D23	Flagged	D23	jimmy161209	Unknown	Undetermined		0.0						true								true	
D24	Flagged	D24	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
E1	Passed	E1	jimmy161209	Standard	22.673021		0.01															
E2	Flagged	E2	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
E3	Passed	E3	jimmy161209	Standard	22.28575		0.01															
E4	Flagged	E4	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
E5	Passed	E5	jimmy161209	Standard	21.581366		0.01															
E6	Flagged	E6	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
E7	Passed	E7	jimmy161209	Unknown	34.361183		7.64297E-6															
E8	Flagged	E8	jimmy161209	Unknown	11.026936		6.369002						true		true							
E9	Passed	E9	jimmy161209	Unknown	33.4969		1.2663822E-5															
E10	Flagged	E10	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
E11	Flagged	E11	jimmy161209	Unknown	Undetermined		0.0								true			true				
E12	Flagged	E12	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
E13	Passed	E13	jimmy161209	Unknown	30.091171		9.262551E-5															
E14	Flagged	E14	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
E15	Passed	E15	jimmy161209	Unknown	29.842081		1.0713575E-4															
