SDS 2.3	Multicomponent	1.0
Well	Time	Temp	Cycle	Step	Repeat	FAM	ROX	BKGND - A1	mse/chan
1	1555	95.1	1	0	2	2722.816	2181.8296	986.40704	83.06456
1	1635	60.1	1	1	2	5703.448	2853.289	685.10876	68.35444
1	1652	60.0	1	1	2	5751.9766	2892.0059	648.5566	76.83032
1	1670	60.0	1	1	2	5744.944	2899.5916	650.1712	81.10091
1	1687	60.0	1	1	2	5690.895	2854.0618	696.3997	73.39671
1	1704	60.0	1	1	2	5681.6313	2838.8857	685.26825	72.57552
1	1721	60.0	1	1	2	5711.7075	2860.1282	684.1356	75.37978
1	1739	60.0	1	1	2	5707.601	2855.8013	681.78204	82.87647
1	1801	95.0	1	0	3	2744.4292	2183.7961	965.11523	83.66002
1	1881	60.0	1	1	3	5758.0894	2868.3345	681.5889	81.55735
1	1899	60.0	1	1	3	5769.724	2866.1914	672.99445	76.83667
1	1916	60.0	1	1	3	5725.002	2862.1382	683.3855	72.56347
1	1933	60.0	1	1	3	5723.7344	2837.7957	693.91486	81.32558
1	1950	60.0	1	1	3	5720.966	2860.3357	677.7199	70.91577
1	1968	60.0	1	1	3	5745.382	2880.526	664.6728	66.95615
1	1985	60.0	1	1	3	5716.4644	2856.494	683.963	81.565254
1	2047	95.1	1	0	4	2711.4846	2167.1453	987.2096	93.33405
1	2127	60.0	1	1	4	5700.0327	2837.7346	676.55347	74.12326
1	2145	60.0	1	1	4	5645.078	2815.7256	693.0597	72.109924
1	2162	60.0	1	1	4	5651.217	2833.177	690.1639	79.13394
1	2179	60.0	1	1	4	5686.4253	2841.5173	687.4132	77.92783
1	2196	60.0	1	1	4	5676.5303	2832.5513	677.1082	79.7122
1	2214	60.0	1	1	4	5667.417	2825.8298	679.16943	77.85319
1	2231	60.0	1	1	4	5680.7705	2840.3604	667.2375	81.14784
1	2294	95.0	1	0	5	2705.4934	2151.4392	981.18286	83.04988
1	2374	60.0	1	1	5	5699.2427	2837.0217	677.6188	83.61601
1	2391	60.0	1	1	5	5689.473	2848.019	679.82117	76.48012
1	2408	60.0	1	1	5	5707.2725	2840.5364	677.23206	75.99446
1	2425	60.0	1	1	5	5703.107	2829.587	676.9316	69.543465
1	2443	60.0	1	1	5	5640.586	2817.7603	702.6343	71.412254
1	2460	60.0	1	1	5	5690.1704	2848.3472	677.49615	82.17554
1	2477	60.0	1	1	5	5679.2896	2847.793	676.2232	69.135376
1	2540	95.1	1	0	6	2705.3389	2136.276	966.0554	79.7894
1	2620	60.0	1	1	6	5668.2705	2823.6375	672.37	71.32122
1	2637	60.0	1	1	6	5633.01	2814.9106	690.1713	79.33789
1	2654	60.0	1	1	6	5621.415	2812.94	685.98303	73.051414
1	2671	60.0	1	1	6	5685.193	2854.8667	679.46594	74.04612
1	2689	60.0	1	1	6	5663.4116	2824.8596	689.9388	75.63546
1	2706	60.0	1	1	6	5625.997	2797.7983	710.3616	78.419205
1	2723	60.0	1	1	6	5675.0645	2820.4512	679.8528	74.50955
1	2786	95.0	1	0	7	2662.8862	2114.9065	990.4935	80.705505
1	2866	60.1	1	1	7	5616.402	2802.8867	681.05164	71.55442
1	2883	60.0	1	1	7	5579.2974	2804.0684	688.3739	71.64013
1	2900	60.0	1	1	7	5647.454	2841.065	644.9051	74.261024
1	2918	60.0	1	1	7	5605.9556	2814.5537	686.19415	71.34924
1	2935	60.0	1	1	7	5547.1924	2765.8235	725.6162	76.12279
1	2952	60.0	1	1	7	5589.658	2801.353	677.8024	75.83496
1	2969	60.0	1	1	7	5573.8984	2798.13	681.0991	70.50898
1	3034	95.0	1	0	8	2680.1226	2120.6426	988.1112	85.3679
1	3113	60.1	1	1	8	5606.086	2805.822	689.2628	83.271545
1	3130	60.0	1	1	8	5639.383	2820.2114	674.50714	82.33476
1	3147	60.0	1	1	8	5574.0083	2784.099	695.0071	71.59141
1	3165	60.0	1	1	8	5627.7773	2817.1523	675.1037	82.49416
1	3182	60.0	1	1	8	5590.0117	2785.637	682.9865	72.82452
1	3199	60.0	1	1	8	5601.648	2808.9463	688.0525	76.31285
1	3216	60.0	1	1	8	5549.521	2782.0342	699.2145	75.852325
1	3279	95.1	1	0	9	2653.9888	2104.16	984.9641	85.611824
1	3359	60.1	1	1	9	5591.6377	2804.48	686.2826	71.683525
1	3376	60.0	1	1	9	5548.9136	2780.3516	687.5067	76.681175
1	3394	60.0	1	1	9	5585.1973	2791.1055	675.42596	74.90363
1	3411	60.0	1	1	9	5568.241	2804.3313	669.8109	73.17068
1	3428	60.0	1	1	9	5567.7017	2800.142	677.6902	79.20807
1	3445	60.0	1	1	9	5576.0444	2808.209	666.0335	71.206825
1	3463	60.0	1	1	9	5576.3457	2786.0828	681.9572	74.54554
1	3525	95.0	1	0	10	2659.6753	2108.8428	979.91113	85.39688
1	3605	60.1	1	1	10	5583.7544	2791.2588	668.3555	74.248
1	3622	60.0	1	1	10	5595.2207	2799.275	669.0607	76.6367
1	3640	60.0	1	1	10	5518.204	2736.788	711.3656	72.50071
1	3657	60.0	1	1	10	5525.071	2768.299	696.06433	77.07746
1	3674	60.0	1	1	10	5572.2046	2750.441	682.1343	74.53514
1	3691	60.0	1	1	10	5499.853	2734.9165	702.0587	70.74753
1	3709	60.0	1	1	10	5503.2246	2768.3215	685.38605	78.43371
1	3771	95.1	1	0	11	2630.4966	2099.097	979.715	81.01647
1	3851	60.1	1	1	11	5536.5186	2776.3486	676.08716	75.32738
1	3868	60.0	1	1	11	5535.821	2757.7026	670.4724	76.47401
1	3886	60.0	1	1	11	5515.591	2771.4795	663.9668	81.87561
1	3903	60.0	1	1	11	5568.3003	2785.5781	664.4936	74.366425
1	3920	60.0	1	1	11	5477.2725	2753.7734	698.09094	76.6083
