plate_row,plate_col,template_name,template_rep,template_conc,template_type,plate_well,well_id
G,14,488,2,,sample,G14,158
G,15,488,3,,sample,G15,159
G,16,354,1,,sample,G16,160
G,17,354,2,,sample,G17,161
G,18,354,3,,sample,G18,162
G,19,062,1,,sample,G19,163
G,20,062,2,,sample,G20,164
G,21,062,3,,sample,G21,165
G,22,096,1,,sample,G22,166
G,23,096,2,,sample,G23,167
G,24,096,3,,sample,G24,168
H,1,St8,1,0,standard,H1,169
H,2,St8,2,0,standard,H2,170
H,3,St8,3,0,standard,H3,171
H,4,328,1,,sample,H4,172
H,5,328,2,,sample,H5,173
H,6,328,3,,sample,H6,174
H,7,253,1,,sample,H7,175
H,8,253,2,,sample,H8,176
H,9,253,3,,sample,H9,177
H,10,265,1,,sample,H10,178
H,11,265,2,,sample,H11,179
H,12,265,3,,sample,H12,180
H,13,489,1,,sample,H13,181
H,14,489,2,,sample,H14,182
H,15,489,3,,sample,H15,183
H,16,355,1,,sample,H16,184
H,17,355,2,,sample,H17,185
H,18,355,3,,sample,H18,186
H,19,063,1,,sample,H19,187
H,20,063,2,,sample,H20,188
H,21,063,3,,sample,H21,189
H,22,097,1,,sample,H22,190
H,23,097,2,,sample,H23,191
H,24,097,3,,sample,H24,192
I,1,356,1,,sample,I1,193
I,2,356,2,,sample,I2,194
I,3,356,3,,sample,I3,195
I,4,365,1,,sample,I4,196
I,5,365,2,,sample,I5,197
I,6,365,3,,sample,I6,198
I,7,432,1,,sample,I7,199
I,8,432,2,,sample,I8,200
I,9,432,3,,sample,I9,201
I,10,004,1,,sample,I10,202
I,11,004,2,,sample,I11,203
I,12,004,3,,sample,I12,204
I,13,493,1,,sample,I13,205
I,14,493,2,,sample,I14,206
I,15,493,3,,sample,I15,207
I,16,547,1,,sample,I16,208
I,17,547,2,,sample,I17,209
I,18,547,3,,sample,I18,210
I,19,571,1,,sample,I19,211
I,20,571,2,,sample,I20,212
I,21,571,3,,sample,I21,213
I,22,580,1,,sample,I22,214
I,23,580,2,,sample,I23,215
I,24,580,3,,sample,I24,216
J,1,357,1,,sample,J1,217
J,2,357,2,,sample,J2,218
J,3,357,3,,sample,J3,219
J,4,002,1,,sample,J4,220
J,5,002,2,,sample,J5,221
J,6,002,3,,sample,J6,222
J,7,433,1,,sample,J7,223
J,8,433,2,,sample,J8,224
J,9,433,3,,sample,J9,225
J,10,449,1,,sample,J10,226
J,11,449,2,,sample,J11,227
J,12,449,3,,sample,J12,228
J,13,494,1,,sample,J13,229
J,14,494,2,,sample,J14,230
J,15,494,3,,sample,J15,231
J,16,548,1,,sample,J16,232
J,17,548,2,,sample,J17,233
J,18,548,3,,sample,J18,234
J,19,573,1,,sample,J19,235
J,20,573,2,,sample,J20,236
J,21,573,3,,sample,J21,237
J,22,585,1,,sample,J22,238
J,23,585,2,,sample,J23,239
J,24,585,3,,sample,J24,240
K,1,359,1,,sample,K1,241
K,2,359,2,,sample,K2,242
K,3,359,3,,sample,K3,243
K,4,421,1,,sample,K4,244
K,5,421,2,,sample,K5,245
K,6,421,3,,sample,K6,246
K,7,434,1,,sample,K7,247
K,8,434,2,,sample,K8,248
K,9,434,3,,sample,K9,249
K,10,450,1,,sample,K10,250
K,11,450,2,,sample,K11,251
K,12,450,3,,sample,K12,252
K,13,495,1,,sample,K13,253
K,14,495,2,,sample,K14,254
K,15,495,3,,sample,K15,255
K,16,549,1,,sample,K16,256
K,17,549,2,,sample,K17,257
K,18,549,3,,sample,K18,258
K,19,574,1,,sample,K19,259
K,20,574,2,,sample,K20,260
K,21,574,3,,sample,K21,261
K,22,586,1,,sample,K22,262
K,23,586,2,,sample,K23,263
K,24,586,3,,sample,K24,264
L,1,360,1,,sample,L1,265
L,2,360,2,,sample,L2,266
L,3,360,3,,sample,L3,267
L,4,422,1,,sample,L4,268
L,5,422,2,,sample,L5,269
L,6,422,3,,sample,L6,270
L,7,435,1,,sample,L7,271
L,8,435,2,,sample,L8,272
L,9,435,3,,sample,L9,273
L,10,007,1,,sample,L10,274
L,11,007,2,,sample,L11,275
L,12,007,3,,sample,L12,276
L,13,496,1,,sample,L13,277
L,14,496,2,,sample,L14,278
L,15,496,3,,sample,L15,279
L,16,566,1,,sample,L16,280
L,17,566,2,,sample,L17,281
L,18,566,3,,sample,L18,282
L,19,575,1,,sample,L19,283
L,20,575,2,,sample,L20,284
L,21,575,3,,sample,L21,285
L,22,587,1,,sample,L22,286
L,23,587,2,,sample,L23,287
L,24,587,3,,sample,L24,288
M,1,498,1,,sample,M1,289
M,2,498,2,,sample,M2,290
M,3,498,3,,sample,M3,291
M,4,423,1,,sample,M4,292
M,5,423,2,,sample,M5,293
M,6,423,3,,sample,M6,294
M,7,436,1,,sample,M7,295
M,8,436,2,,sample,M8,296
M,9,436,3,,sample,M9,297
M,10,459,1,,sample,M10,298
M,11,459,2,,sample,M11,299
M,12,459,3,,sample,M12,300
M,13,497,1,,sample,M13,301
M,14,497,2,,sample,M14,302
M,15,497,3,,sample,M15,303
M,16,567,1,,sample,M16,304
M,17,567,2,,sample,M17,305
M,18,567,3,,sample,M18,306
M,19,576,1,,sample,M19,307
M,20,576,2,,sample,M20,308
M,21,576,3,,sample,M21,309
M,22,588,1,,sample,M22,310
M,23,588,2,,sample,M23,311
M,24,588,3,,sample,M24,312
N,1,001,1,,sample,N1,313
N,2,001,2,,sample,N2,314
N,3,001,3,,sample,N3,315
N,4,424,1,,sample,N4,316
N,5,424,2,,sample,N5,317
N,6,424,3,,sample,N6,318
N,7,437,1,,sample,N7,319
N,8,437,2,,sample,N8,320
N,9,437,3,,sample,N9,321
N,10,460,1,,sample,N10,322
N,11,460,2,,sample,N11,323
N,12,460,3,,sample,N12,324
N,13,499,1,,sample,N13,325
N,14,499,2,,sample,N14,326
N,15,499,3,,sample,N15,327
N,16,568,1,,sample,N16,328
N,17,568,2,,sample,N17,329
N,18,568,3,,sample,N18,330
N,19,577,1,,sample,N19,331
N,20,577,2,,sample,N20,332
N,21,577,3,,sample,N21,333
N,22,008,1,,sample,N22,334
N,23,008,2,,sample,N23,335
N,24,008,3,,sample,N24,336
O,1,363,1,,sample,O1,337
O,2,363,2,,sample,O2,338
O,3,363,3,,sample,O3,339
O,4,430,1,,sample,O4,340
O,5,430,2,,sample,O5,341
O,6,430,3,,sample,O6,342
O,7,003,1,,sample,O7,343
O,8,003,2,,sample,O8,344
O,9,003,3,,sample,O9,345
O,10,461,1,,sample,O10,346
O,11,461,2,,sample,O11,347
O,12,461,3,,sample,O12,348
O,13,500,1,,sample,O13,349
O,14,500,2,,sample,O14,350
O,15,500,3,,sample,O15,351
O,16,569,1,,sample,O16,352
O,17,569,2,,sample,O17,353
O,18,569,3,,sample,O18,354
O,19,578,1,,sample,O19,355
O,20,578,2,,sample,O20,356
O,21,578,3,,sample,O21,357
O,22,009,1,,sample,O22,358
O,23,009,2,,sample,O23,359
O,24,009,3,,sample,O24,360
P,1,364,1,,sample,P1,361
P,2,364,2,,sample,P2,362
P,3,364,3,,sample,P3,363
P,4,431,1,,sample,P4,364
P,5,431,2,,sample,P5,365
P,6,431,3,,sample,P6,366
P,7,439,1,,sample,P7,367
P,8,439,2,,sample,P8,368
P,9,439,3,,sample,P9,369
P,10,482,1,,sample,P10,370
P,11,482,2,,sample,P11,371
P,12,482,3,,sample,P12,372
P,13,501,1,,sample,P13,373
P,14,501,2,,sample,P14,374
P,15,501,3,,sample,P15,375
P,16,570,1,,sample,P16,376
P,17,570,2,,sample,P17,377
P,18,570,3,,sample,P18,378
P,19,579,1,,sample,P19,379
P,20,579,2,,sample,P20,380
P,21,579,3,,sample,P21,381
P,22,010,1,,sample,P22,382
P,23,010,2,,sample,P23,383
P,24,010,3,,sample,P24,384
