"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","std_1","std_1","std_1","std_1","001","001","001","001","091","091","091","091"
"B","std_0.1","std_0.1","std_0.1","std_0.1","002","002","002","002","092","092","092","092"
"C","std_0.01","std_0.01","std_0.01","std_0.01","003","003","003","003","093","093","093","093"
"D","std_0.001","std_0.001","std_0.001","std_0.001","004","004","004","004","094","094","094","094"
"E","std_1e-04","std_1e-04","std_1e-04","std_1e-04","025","025","025","025","096","096","096","096"
"F","std_1e-05","std_1e-05","std_1e-05","std_1e-05","026","026","026","026","097","097","097","097"
"G","std_1e-06","std_1e-06","std_1e-06","std_1e-06","027","027","027","027","098","098","098","098"
"H","std_0","std_0","std_0","std_0","028","028","028","028","099","099","099","099"
