SDS 2.4	AQ Results	1.0
Filename	CKCO3-180302
PlateID	C3909C8K
Assay Type	Absolute Quantification
Run DateTime	3/2/18 6:41:03 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
172	H4	jimmy161209	FAM	Unknown	32.36787			0.0015822089						Automatic Ct		Automatic			Automatic	0.3852173													
173	H5	jimmy161209	FAM	Unknown	32.403606			0.0015471554						Automatic Ct		Automatic			Automatic	0.3852173													
174	H6	jimmy161209	FAM	Unknown	32.464386			0.0014893116						Automatic Ct		Automatic			Automatic	0.3852173													
Slope	-3.672808	cycles/log decade
Y-Intercept		22.081305
R^2		0.99049574



NAP	LPL
	
