"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","227","227","227","241","241","241","327","327","327","355","355","355"
"B","228","228","228","244","244","244","328","328","328","356","356","356"
"C","229","229","229","245","245","245","329","329","329","357","357","357"
"D","230","230","230","253","253","253","341","341","341","358","358","358"
"E","231","231","231","255","255","255","342","342","342","359","359","359"
"F","232","232","232","256","256","256","345","345","345","360","360","360"
"G","235","235","235","264","264","264","351","351","351","control_neg","control_neg","control_neg"
"H","236","236","236","265","265","265","354","354","354","control_pos","control_pos","control_pos"
