plate_row,plate_col,template_name,template_conc,template_type,template_rep,plate_well
H,4,064,,sample,1,H4
H,5,064,,sample,2,H5
H,6,064,,sample,3,H6
H,7,241,,sample,1,H7
H,8,241,,sample,2,H8
H,9,241,,sample,3,H9
H,10,355,,sample,1,H10
H,11,355,,sample,2,H11
H,12,355,,sample,3,H12
H,13,433,,sample,1,H13
H,14,433,,sample,2,H14
H,15,433,,sample,3,H15
H,16,486,,sample,1,H16
H,17,486,,sample,2,H17
H,18,486,,sample,3,H18
H,19,547,,sample,1,H19
H,20,547,,sample,2,H20
H,21,547,,sample,3,H21
H,22,580,,sample,1,H22
H,23,580,,sample,2,H23
H,24,580,,sample,3,H24
I,1,001,,sample,1,I1
I,2,001,,sample,2,I2
I,3,001,,sample,3,I3
I,4,067,,sample,1,I4
I,5,067,,sample,2,I5
I,6,067,,sample,3,I6
I,7,244,,sample,1,I7
I,8,244,,sample,2,I8
I,9,244,,sample,3,I9
I,10,356,,sample,1,I10
I,11,356,,sample,2,I11
I,12,356,,sample,3,I12
I,13,434,,sample,1,I13
I,14,434,,sample,2,I14
I,15,434,,sample,3,I15
I,16,487,,sample,1,I16
I,17,487,,sample,2,I17
I,18,487,,sample,3,I18
I,19,548,,sample,1,I19
I,20,548,,sample,2,I20
I,21,548,,sample,3,I21
I,22,585,,sample,1,I22
I,23,585,,sample,2,I23
I,24,585,,sample,3,I24
J,1,002,,sample,1,J1
J,2,002,,sample,2,J2
J,3,002,,sample,3,J3
J,4,091,,sample,1,J4
J,5,091,,sample,2,J5
J,6,091,,sample,3,J6
J,7,245,,sample,1,J7
J,8,245,,sample,2,J8
J,9,245,,sample,3,J9
J,10,357,,sample,1,J10
J,11,357,,sample,2,J11
J,12,357,,sample,3,J12
J,13,435,,sample,1,J13
J,14,435,,sample,2,J14
J,15,435,,sample,3,J15
J,16,488,,sample,1,J16
J,17,488,,sample,2,J17
J,18,488,,sample,3,J18
J,19,549,,sample,1,J19
J,20,549,,sample,2,J20
J,21,549,,sample,3,J21
J,22,586,,sample,1,J22
J,23,586,,sample,2,J23
J,24,586,,sample,3,J24
K,1,003,,sample,1,K1
K,2,003,,sample,2,K2
K,3,003,,sample,3,K3
K,4,092,,sample,1,K4
K,5,092,,sample,2,K5
K,6,092,,sample,3,K6
K,7,253,,sample,1,K7
K,8,253,,sample,2,K8
K,9,253,,sample,3,K9
K,10,358,,sample,1,K10
K,11,358,,sample,2,K11
K,12,358,,sample,3,K12
K,13,436,,sample,1,K13
