"","Task","Ct","Quantity","template_name","template_conc","QuantBackCalc","Mean","Median","SD","X.025","X.05","X.25","X.75","X.95","X.975","year","month","day","site_name","exp.Mean"
"1","Unknown",36.864445,0.00255177219047619,"341",NA,2.6793608,0.977869304742678,0.984874448696855,0.449833167526307,0.0809809492611964,0.227034454515271,0.679889501517438,1.28449122419167,1.70645225474372,1.84018167074765,2017,3,20,"Goat Island",2.6587851414903
"2","Unknown",39.580254,0.000896656571428571,"341",NA,0.9414894,-0.0703242929941035,-0.0607569584811026,0.466783829413604,-1.00610077722031,-0.853286513398594,-0.379083021643927,0.248587941342587,0.679994971110769,0.817244482637601,2017,3,20,"Goat Island",0.932091500145147
"3","Unknown",36.81637,0.00259945657142857,"341",NA,2.7294294,0.996424330965509,1.00340124265525,0.449577306901661,0.10011207376297,0.246155638209626,0.698467035440018,1.30292163246665,1.72469269189928,1.85826988879819,2017,3,20,"Goat Island",2.70857950877737
"4","Unknown",NA,0,"423",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,4,17,"Turners Spit N",0
"5","Unknown",NA,0,"423",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,4,17,"Turners Spit N",0
"6","Unknown",NA,0,"423",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,4,17,"Turners Spit N",0
"7","Unknown",36.39146,0.00306159676190476,"460",NA,3.2146766,1.1604225876965,1.16682211826675,0.44738545663734,0.268994855739274,0.414818943362095,0.863923490458206,1.4652839145295,1.88508552227625,2.02012474812758,2017,5,16,"Turners Spit N",3.19128158754117
"8","Unknown",36.277184,0.00319934142857143,"460",NA,3.3593085,1.20452855080914,1.21075703788595,0.446817449853618,0.314633652317104,0.459528012586428,0.908613278595905,1.50902207247822,1.92817553529832,2.06402215691457,2017,5,16,"Turners Spit N",3.33518633646297
"9","Unknown",36.366795,0.00309081752380952,"460",NA,3.2453584,1.16994229069777,1.17639908769972,0.447262085515112,0.27854265693336,0.42443700726164,0.873566058571666,1.47478272858534,1.89446829648691,2.02938835891912,2017,5,16,"Turners Spit N",3.22180670494664
"10","Unknown",34.962246,0.00530862952380952,"496",NA,5.574061,1.71204200003212,1.71712636660871,0.440949777865487,0.83595892070186,0.979995231713867,1.41920102343196,2.01155502414325,2.42738293694249,2.56241093180906,2017,5,17,"Hoypus",5.54026315222172
"11","Unknown",34.5941,0.00611721904761905,"496",NA,6.42308,1.85413162424075,1.85909016156577,0.43953128158934,0.981617806783649,1.12547471850757,1.56172947270253,2.15263934982462,2.56742262965607,2.70297842064984,2017,5,17,"Hoypus",6.38615026401676
"12","Unknown",35.123177,0.00498961304761905,"496",NA,5.2390937,1.6499290738737,1.65543463398254,0.441601015706749,0.773054044936588,0.916961925540083,1.35668433998139,1.95020158664702,2.3666494422104,2.50164186714675,2017,5,17,"Hoypus",5.20661052936755
"13","Unknown",31.245329,0.0222142752380952,"574",NA,23.324989,3.14662322526519,3.14719161794826,0.431316981136517,2.29655424198207,2.43500714701882,2.85712787954205,3.4380825436177,3.85284906897616,3.98786251482864,2017,6,21,"Lone Tree Point",23.2573968440206
"14","Unknown",31.209337,0.0225243171428571,"574",NA,23.650533,3.16051469700335,3.16101024886902,0.431275590676416,2.31050347549334,2.44902414128945,2.87107856547404,3.45184530286383,3.86653071756511,4.00153430658411,2017,6,21,"Lone Tree Point",23.5827307667745
"15","Unknown",31.175991,0.0228154323809524,"574",NA,23.956204,3.17338491862429,3.17402478494294,0.431238145748962,2.32324453422768,2.46203157414486,2.8839107606822,3.46459050997884,3.87942797463339,4.01410304181229,2017,6,21,"Lone Tree Point",23.8882072968417
"16","Unknown",37.639744,0.00189310247619048,"025",NA,1.9877576,0.678634915236005,0.686157708597356,0.454177100721544,-0.228548024535696,-0.0808078348068219,0.378536514200777,0.988017000262094,1.41269370819614,1.54784347307976,2016,5,31,"Mariners Bluff",1.97118506009319
"17","Unknown",NA,0,"025",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,5,31,"Mariners Bluff",0
"18","Unknown",37.710606,0.0018421399047619,"025",NA,1.9342469,0.651285018861547,0.658939160693208,0.454594357542256,-0.25741492302213,-0.109383256373621,0.35089688095542,0.960954594646707,1.38589390442996,1.52067372584587,2016,5,31,"Mariners Bluff",1.91800391732778
"19","Unknown",39.566208,0.000901519809523809,"230",NA,0.9465958,-0.0649030990611708,-0.0552736802564189,0.466684001936858,-1.00050771527749,-0.847598301570179,-0.373603159838381,0.253942626537721,0.685242717572159,0.82269043114773,2017,2,21,"Lone Tree Point",0.937158270493927
"20","Unknown",39.240223,0.0010221059047619,"230",NA,1.0732112,0.0609140662690231,0.0704746483382377,0.464401481601424,-0.869052073521016,-0.717764577993599,-0.246160634667751,0.3782061442488,0.808233967364214,0.945588720937424,2017,2,21,"Lone Tree Point",1.06280757924228
"21","Unknown",39.55382,0.000905830380952381,"230",NA,0.9511219,-0.0601218267814322,-0.0504499389384232,0.4665960590605,-0.995540434965217,-0.842595509860161,-0.368812904897697,0.258702583784308,0.689826322644435,0.827393096853318,2017,2,21,"Lone Tree Point",0.941649808430695
"22","Unknown",36.26433,0.003215216,"342",NA,3.3759768,1.20948968044134,1.21570981520085,0.446754132318934,0.319753923773659,0.464649561519481,0.913627251037576,1.51392477986576,1.93305162200548,2.06893444172876,2017,3,20,"Goat Island",3.35177374033428
