date,time,sample_type,site_name,collector,field_label,field_notes,field_rep,photos_field,filterer,filter_start,filter_end,lab_label,filter_notes,preservative_ml,filter_box
2016-06-07,0815,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,37,high water,6,,Jimmy O'Donnell,1530,,044,,1.4,
2016-06-07,0940,water-marine,Browns Slough Out Side,Jimmy O'Donnell,31,low water,1,,Jimmy O'Donnell,1600,,045,,1.4,
2016-06-07,0941,water-marine,Browns Slough Out Side,Jimmy O'Donnell,39,low water,2,,Jimmy O'Donnell,1600,,046,,1.4,
2016-06-07,0944,water-marine,Browns Slough Out Side,Jimmy O'Donnell,19,low water,3,,Jimmy O'Donnell,1615,,047,,1.4,
2016-06-07,0945,water-marine,Browns Slough Out Side,Jimmy O'Donnell,20,low water,4,,Jimmy O'Donnell,1622,,048,,1.4,
2016-06-07,0950,water-marine,Browns Slough Out Side,Jimmy O'Donnell,30,low water,5,,Jimmy O'Donnell,1631,,049,,1.4,
2016-06-07,0951,water-marine,Browns Slough Out Side,Jimmy O'Donnell,25,low water,6,,Jimmy O'Donnell,1633,,050,,1.4,
2016-06-07,1200,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,35,low water,1,,Jimmy O'Donnell,,,051,,1.4,
2016-06-07,1201,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,41,low water,2,,Jimmy O'Donnell,,,053,,1.4,
2016-06-07,1202,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,22,low water,3,,Jimmy O'Donnell,,,052,,1.4,
2016-06-07,1204,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,23,low water,4,,Jimmy O'Donnell,,,054,,1.4,
2016-06-07,1205,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,32,low water,5,,Jimmy O'Donnell,,,055,,1.4,
2016-06-07,1206,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,44,low water,6,,Jimmy O'Donnell,,,056,,1.4,
2016-06-07,,water-deionized,,Jimmy O'Donnell,deionized water,,1,,Jimmy O'Donnell,1150,,038,filtered at site,1.4,
