date,time,sample_type,site_name,collector,field_label,field_notes,field_rep,photos_field,filterer,filter_start,filter_end,lab_label,filter_notes,preservative_ml,filter_box,EXTRACT
6/7/16,815,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,37,high water,6,,Jimmy O'Donnell,1530,,44,,1.4,,
6/7/16,940,water-marine,Browns Slough Out Side,Jimmy O'Donnell,31,low water,1,,Jimmy O'Donnell,1600,,45,,1.4,,
6/7/16,941,water-marine,Browns Slough Out Side,Jimmy O'Donnell,39,low water,2,,Jimmy O'Donnell,1600,,46,,1.4,,
6/7/16,944,water-marine,Browns Slough Out Side,Jimmy O'Donnell,19,low water,3,,Jimmy O'Donnell,1615,,47,,1.4,,
6/7/16,945,water-marine,Browns Slough Out Side,Jimmy O'Donnell,20,low water,4,,Jimmy O'Donnell,1622,,48,,1.4,,
6/7/16,950,water-marine,Browns Slough Out Side,Jimmy O'Donnell,30,low water,5,,Jimmy O'Donnell,1631,,49,,1.4,,
6/7/16,951,water-marine,Browns Slough Out Side,Jimmy O'Donnell,25,low water,6,,Jimmy O'Donnell,1633,,50,,1.4,,
6/7/16,1200,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,35,low water,1,,Jimmy O'Donnell,,,51,,1.4,,
6/7/16,1201,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,41,low water,2,,Jimmy O'Donnell,,,53,,1.4,,
6/7/16,1202,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,22,low water,3,,Jimmy O'Donnell,,,52,,1.4,,
6/7/16,1204,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,23,low water,4,,Jimmy O'Donnell,,,54,,1.4,,
6/7/16,1205,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,32,low water,5,,Jimmy O'Donnell,,,55,,1.4,,
6/7/16,1206,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,44,low water,6,,Jimmy O'Donnell,,,56,,1.4,,
6/7/16,,water-deionized,,Jimmy O'Donnell,deionized water,,1,,Jimmy O'Donnell,1150,,38,filtered at site,1.4,,
6/8/16,821,water-marine,Ika Upper,Jimmy O'Donnell,28,,1,,Jimmy O'Donnell,1312,,57,,1.4,,
6/8/16,822,water-marine,Ika Upper,Jimmy O'Donnell,3,,2,,Jimmy O'Donnell,1313,,58,,1.4,,
6/8/16,823,water-marine,Ika Upper,Jimmy O'Donnell,24,,3,,Jimmy O'Donnell,1314,,59,,1.4,,
6/8/16,828,water-marine,Ika Upper,Jimmy O'Donnell,7,,4,,Jimmy O'Donnell,1340,,60,forceps used to handle filter were possibly not clean,1.4,,
6/8/16,829,water-marine,Ika Upper,Jimmy O'Donnell,17,,5,,Jimmy O'Donnell,1341,,61,forceps used to handle filter were possibly not clean,1.4,,
6/8/16,830,water-marine,Ika Upper,Jimmy O'Donnell,45,,6,,Jimmy O'Donnell,1342,,62,forceps used to handle filter were possibly not clean,1.4,,
6/8/16,835,water-marine,Ika Lower,Jimmy O'Donnell,5,,1,,Jimmy O'Donnell,1411,,63,forceps used to handle filter were definitely not clean,1.4,,
6/8/16,837,water-marine,Ika Lower,Jimmy O'Donnell,46,,2,,Jimmy O'Donnell,1411,,64,forceps used to handle filter were definitely not clean,1.4,,
6/8/16,838,water-marine,Ika Lower,Jimmy O'Donnell,14,,3,,Jimmy O'Donnell,1411,,65,forceps used to handle filter were definitely not clean,1.4,,
6/8/16,839,water-marine,Ika Lower,Jimmy O'Donnell,43,,4,,Jimmy O'Donnell,1500,,67,forceps used to handle filter were definitely not clean,1.4,,
6/8/16,841,water-marine,Ika Lower,Jimmy O'Donnell,8,,5,,Jimmy O'Donnell,1500,,68,forceps used to handle filter were definitely not clean,1.4,,
6/8/16,842,water-marine,Ika Lower,Jimmy O'Donnell,38,,6,,Jimmy O'Donnell,1500,,69,forceps used to handle filter were definitely not clean,1.4,,
6/8/16,852,water-marine,Cattail,Jimmy O'Donnell,4,,1,,Jimmy O'Donnell,1532,,70,,1.4,,
6/8/16,854,water-marine,Cattail,Jimmy O'Donnell,36,,2,,Jimmy O'Donnell,1533,,71,,1.4,,
6/8/16,855,water-marine,Cattail,Jimmy O'Donnell,15,,3,,Jimmy O'Donnell,1534,,72,,1.4,,
6/8/16,856,water-marine,Cattail,Jimmy O'Donnell,48,,4,,Jimmy O'Donnell,1607,,73,,1.4,,
6/8/16,858,water-marine,Cattail,Jimmy O'Donnell,47,,5,,Jimmy O'Donnell,1607,,74,,1.4,,
6/8/16,859,water-marine,Cattail,Jimmy O'Donnell,42,,6,,Jimmy O'Donnell,1607,,75,,1.4,,
6/8/16,927,water-marine,Grain of Sand,Jimmy O'Donnell,40,,1,,Jimmy O'Donnell,1632,,76,,1.4,,
6/8/16,928,water-marine,Grain of Sand,Jimmy O'Donnell,34,,2,,Jimmy O'Donnell,1632,,77,,1.4,,
6/8/16,929,water-marine,Grain of Sand,Jimmy O'Donnell,12,,3,,Jimmy O'Donnell,1632,,78,,1.4,,
6/8/16,930,water-marine,Grain of Sand,Jimmy O'Donnell,33,,4,,Jimmy O'Donnell,1710,,79,,1.4,,
6/8/16,932,water-marine,Grain of Sand,Jimmy O'Donnell,26,,5,,Jimmy O'Donnell,1711,,81,,1.4,,
6/8/16,933,water-marine,Grain of Sand,Jimmy O'Donnell,29,,6,,Jimmy O'Donnell,1712,,80,,1.4,,
6/8/16,,water-deionized,,Jimmy O'Donnell,deionized water,,1,,Jimmy O'Donnell,1440,,66,forceps used to handle filter were definitely not clean,1.4,,
6/13/16,931,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",35,after seine 1,1,,"Ole Shelton, LM, LB, Jimmy Kralj",1253,,83,filtered at site,1.4,,
6/13/16,932,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",34,after seine 1,2,,"Ole Shelton, LM, LB, Jimmy Kralj",1240,,82,filtered at site,1.4,,
6/13/16,934,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",38,after seine 1,3,,"Ole Shelton, LM, LB, Jimmy Kralj",1304,,84,filtered at site,1.4,,
6/13/16,941,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",12,after seine 2,4,,Jimmy Kralj,,,85,solids made it past membrane,1.4,,
6/13/16,943,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",39,after seine 2,5,,Jimmy Kralj,,,86,,1.4,,
6/13/16,945,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",23,after seine 2,6,,Jimmy Kralj,,,87,,1.4,,
6/13/16,947,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",8,after seine 2,7,,Jimmy Kralj,,,88,,1.4,,
6/13/16,1026,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",36,after seine 1,1,,Jimmy Kralj,,,89,,1.4,,
6/13/16,1027,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",5,after seine 1,2,,Jimmy Kralj,,,90,solids made it past membrane,1.4,,
6/13/16,1029,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",31,after seine 1,3,,Jimmy Kralj,,,91,,1.4,,
6/13/16,1040,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",30,after seine 2,4,,Jimmy Kralj,,,92,,1.4,,
6/13/16,1041,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",47,after seine 2,5,,Jimmy Kralj,,,93,,1.4,,
6/13/16,1042,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",41,after seine 2,6,,Jimmy Kralj,,,94,,1.4,,
6/13/16,1043,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",22,after seine 2,7,,,,,,did not filter,,,
6/13/16,1140,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",25,after seine 1,1,,Jimmy Kralj,,,96,,1.4,,
6/13/16,1143,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",48,after seine 1,2,,Jimmy Kralj,,,97,,1.4,,
