plate_row,plate_col,template_name,template_conc,template_type,template_rep,plate_well
A,1,std_1e+00,1,Standard,1,A1
B,1,std_1e-01,0.1,Standard,1,B1
C,1,std_1e-02,0.01,Standard,1,C1
D,1,std_1e-03,0.001,Standard,1,D1
E,1,std_1e-04,1e-04,Standard,1,E1
F,1,std_1e-05,1e-05,Standard,1,F1
G,1,std_1e-06,1e-06,Standard,1,G1
H,1,std_0e+00,0,Standard,1,H1
A,2,std_1e+00,1,Standard,2,A2
B,2,std_1e-01,0.1,Standard,2,B2
C,2,std_1e-02,0.01,Standard,2,C2
D,2,std_1e-03,0.001,Standard,2,D2
E,2,std_1e-04,1e-04,Standard,2,E2
F,2,std_1e-05,1e-05,Standard,2,F2
G,2,std_1e-06,1e-06,Standard,2,G2
H,2,std_0e+00,0,Standard,2,H2
A,3,std_1e+00,1,Standard,3,A3
B,3,std_1e-01,0.1,Standard,3,B3
C,3,std_1e-02,0.01,Standard,3,C3
D,3,std_1e-03,0.001,Standard,3,D3
E,3,std_1e-04,1e-04,Standard,3,E3
F,3,std_1e-05,1e-05,Standard,3,F3
G,3,std_1e-06,1e-06,Standard,3,G3
H,3,std_0e+00,0,Standard,3,H3
A,4,057,NA,Unknown,1,A4
B,4,058,NA,Unknown,1,B4
C,4,062,NA,Unknown,1,C4
D,4,063,NA,Unknown,1,D4
E,4,064,NA,Unknown,1,E4
F,4,069,NA,Unknown,1,F4
G,4,092,NA,Unknown,1,G4
H,4,093,NA,Unknown,1,H4
A,5,057,NA,Unknown,2,A5
B,5,058,NA,Unknown,2,B5
C,5,062,NA,Unknown,2,C5
D,5,063,NA,Unknown,2,D5
E,5,064,NA,Unknown,2,E5
F,5,069,NA,Unknown,2,F5
G,5,092,NA,Unknown,2,G5
H,5,093,NA,Unknown,2,H5
A,6,057,NA,Unknown,3,A6
B,6,058,NA,Unknown,3,B6
C,6,062,NA,Unknown,3,C6
D,6,063,NA,Unknown,3,D6
E,6,064,NA,Unknown,3,E6
F,6,069,NA,Unknown,3,F6
G,6,092,NA,Unknown,3,G6
H,6,093,NA,Unknown,3,H6
A,7,094,NA,Unknown,1,A7
B,7,NA,NA,NA,1,B7
C,7,NA,NA,NA,1,C7
D,7,NA,NA,NA,1,D7
E,7,NA,NA,NA,1,E7
F,7,NA,NA,NA,1,F7
G,7,NA,NA,NA,1,G7
H,7,NA,NA,NA,1,H7
A,8,094,NA,Unknown,2,A8
B,8,NA,NA,NA,2,B8
C,8,NA,NA,NA,2,C8
D,8,NA,NA,NA,2,D8
E,8,NA,NA,NA,2,E8
F,8,NA,NA,NA,2,F8
G,8,NA,NA,NA,2,G8
H,8,NA,NA,NA,2,H8
A,9,094,NA,Unknown,3,A9
B,9,NA,NA,NA,3,B9
C,9,NA,NA,NA,3,C9
D,9,NA,NA,NA,3,D9
E,9,NA,NA,NA,3,E9
F,9,NA,NA,NA,3,F9
G,9,NA,NA,NA,3,G9
H,9,NA,NA,NA,3,H9
A,10,NA,NA,NA,1,A10
B,10,NA,NA,NA,1,B10
C,10,NA,NA,NA,1,C10
D,10,NA,NA,NA,1,D10
E,10,NA,NA,NA,1,E10
F,10,NA,NA,NA,1,F10
G,10,NA,NA,NA,1,G10
H,10,NA,NA,NA,1,H10
A,11,NA,NA,NA,2,A11
B,11,NA,NA,NA,2,B11
C,11,NA,NA,NA,2,C11
D,11,NA,NA,NA,2,D11
E,11,NA,NA,NA,2,E11
F,11,NA,NA,NA,2,F11
G,11,NA,NA,NA,2,G11
H,11,NA,NA,NA,2,H11
A,12,NA,NA,NA,3,A12
B,12,NA,NA,NA,3,B12
C,12,NA,NA,NA,3,C12
D,12,NA,NA,NA,3,D12
E,12,NA,NA,NA,3,E12
F,12,NA,NA,NA,3,F12
G,12,NA,NA,NA,3,G12
H,12,NA,NA,NA,3,H12
