"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","std_1e+00","std_1e+00","std_1e+00","057","057","057","094","094","094",NA,NA,NA
"B","std_1e-01","std_1e-01","std_1e-01","058","058","058",NA,NA,NA,NA,NA,NA
"C","std_1e-02","std_1e-02","std_1e-02","062","062","062",NA,NA,NA,NA,NA,NA
"D","std_1e-03","std_1e-03","std_1e-03","063","063","063",NA,NA,NA,NA,NA,NA
"E","std_1e-04","std_1e-04","std_1e-04","064","064","064",NA,NA,NA,NA,NA,NA
"F","std_1e-05","std_1e-05","std_1e-05","069","069","069",NA,NA,NA,NA,NA,NA
"G","std_1e-06","std_1e-06","std_1e-06","092","092","092",NA,NA,NA,NA,NA,NA
"H","std_0e+00","std_0e+00","std_0e+00","093","093","093",NA,NA,NA,NA,NA,NA
