SDS 2.3	Multicomponent	1.0
Well	Time	Temp	Cycle	Step	Repeat	FAM	ROX	BKGND - A1	mse/chan
1	1462	60.0	1	1	1	5667.5645	2834.9717	721.99725	73.88713
1	1479	60.0	1	1	1	5689.157	2819.3286	729.4447	77.40541
1	1497	60.0	1	1	1	5704.0234	2838.6665	716.02216	80.71375
1	1561	95.0	1	0	2	2715.3958	2144.3376	1001.4603	77.65907
1	1641	60.1	1	1	2	5478.887	2752.4192	737.61536	73.47298
1	1658	60.0	1	1	2	5506.5996	2780.9463	731.9897	75.22741
1	1676	60.0	1	1	2	5589.603	2821.7795	697.21375	77.196205
1	1693	60.0	1	1	2	5483.86	2741.6992	761.4769	67.54566
1	1710	60.0	1	1	2	5546.711	2772.9543	739.4692	75.228096
1	1727	60.0	1	1	2	5566.0513	2790.5374	721.4351	69.44653
1	1745	60.0	1	1	2	5518.3857	2757.236	738.1995	70.76315
1	1807	95.1	1	0	3	2689.2322	2139.2354	1012.8297	81.738144
1	1889	60.0	1	1	3	5496.2847	2737.4756	748.8621	75.76196
1	1906	60.0	1	1	3	5509.122	2731.8267	753.59015	74.730484
1	1924	60.0	1	1	3	5542.7236	2765.0383	756.9668	70.8699
1	1941	60.0	1	1	3	5577.302	2774.4368	737.20374	70.25888
1	1958	60.0	1	1	3	5556.7344	2776.5493	742.33795	78.1558
1	1975	60.0	1	1	3	5545.1826	2757.328	716.86206	71.93692
1	1993	60.0	1	1	3	5508.1543	2748.8474	749.33386	75.473175
1	2055	95.1	1	0	4	2700.3376	2138.9634	1007.45435	79.009
1	2135	60.0	1	1	4	5491.6143	2739.5679	746.81067	75.88253
1	2153	60.0	1	1	4	5506.159	2756.7266	739.3709	80.20075
1	2170	60.0	1	1	4	5521.7827	2758.6514	736.5169	73.16524
1	2187	60.0	1	1	4	5547.853	2771.2341	728.2349	75.494644
1	2204	60.0	1	1	4	5557.966	2771.5112	720.7371	80.95236
1	2222	60.0	1	1	4	5520.347	2738.2844	737.8916	78.05891
1	2239	60.0	1	1	4	5480.1895	2731.179	753.1916	70.694214
1	2301	95.0	1	0	5	2688.2966	2124.772	1000.4838	77.073166
1	2381	60.1	1	1	5	5473.618	2718.6182	730.1526	69.67294
1	2399	60.0	1	1	5	5465.33	2733.2256	748.6429	65.744736
1	2416	60.0	1	1	5	5563.4404	2767.8223	716.8309	74.86081
1	2433	60.0	1	1	5	5489.7783	2734.196	740.92883	73.35222
1	2450	60.0	1	1	5	5462.9395	2716.0562	754.4729	70.10333
1	2468	60.0	1	1	5	5500.2144	2733.6555	737.961	69.53819
1	2485	60.0	1	1	5	5454.423	2726.8418	737.4245	70.8346
1	2547	95.1	1	0	6	2666.083	2099.3389	1024.34	84.890915
1	2628	60.1	1	1	6	5529.757	2756.435	717.2362	67.00763
1	2645	60.0	1	1	6	5554.3135	2738.457	738.0996	71.05979
1	2662	60.0	1	1	6	5509.074	2733.2666	747.0913	70.7048
1	2679	60.0	1	1	6	5519.174	2762.8323	727.87695	73.25215
1	2697	60.0	1	1	6	5557.926	2763.061	738.4079	76.70294
1	2714	60.0	1	1	6	5548.5845	2765.8113	720.1943	74.36472
1	2731	60.0	1	1	6	5532.742	2758.4775	723.624	71.38603
1	2796	95.0	1	0	7	2671.2764	2103.045	1010.1126	76.594795
1	2876	60.1	1	1	7	5489.073	2721.502	730.27435	65.520515
1	2893	60.0	1	1	7	5520.5586	2747.2192	708.81647	75.253685
1	2910	60.0	1	1	7	5559.13	2759.137	733.9102	65.942535
1	2927	60.0	1	1	7	5488.984	2724.5674	744.3206	71.5236
1	2945	60.0	1	1	7	5448.8647	2699.5906	739.861	73.89956
1	2962	60.0	1	1	7	5460.7773	2713.9204	746.9897	81.50483
1	2979	60.0	1	1	7	5504.709	2738.4363	719.1745	80.60243
1	3044	95.1	1	0	8	2657.3816	2081.4775	995.6704	85.89324
1	3124	60.0	1	1	8	5353.795	2686.4648	752.4069	68.444466
1	3141	60.0	1	1	8	5444.9395	2704.9663	721.1062	74.40355
1	3158	60.0	1	1	8	5380.2856	2674.0532	741.9951	68.698265
1	3175	60.0	1	1	8	5447.8945	2717.4536	720.7431	74.38828
1	3193	60.0	1	1	8	5343.3	2663.6921	752.1528	70.675896
1	3210	60.0	1	1	8	5379.6895	2677.6763	738.0388	70.71604
1	3227	60.0	1	1	8	5330.185	2665.2305	775.10205	68.91788
1	3290	95.0	1	0	9	2580.1892	2029.1902	1031.4443	80.00226
1	3370	60.0	1	1	9	5397.327	2694.9724	734.78174	72.67456
1	3387	60.0	1	1	9	5392.3125	2687.852	729.1968	79.145775
1	3404	60.0	1	1	9	5459.278	2717.4297	727.5611	74.735
1	3422	60.0	1	1	9	5409.1133	2684.84	747.4087	74.144356
1	3439	60.0	1	1	9	5408.9814	2675.6643	748.08673	71.43209
1	3456	60.0	1	1	9	5402.478	2700.1606	743.0282	68.517944
1	3473	60.0	1	1	9	5437.604	2696.9	729.0212	73.93393
1	3536	95.0	1	0	10	2643.0134	2083.189	998.27576	81.17322
1	3616	60.1	1	1	10	5298.465	2668.9768	729.0198	77.87705
1	3633	60.0	1	1	10	5343.856	2667.7727	732.63074	68.528755
1	3650	60.0	1	1	10	5353.544	2680.2527	722.41113	71.302956
1	3668	60.0	1	1	10	5308.9937	2640.8232	759.0293	63.476448
1	3685	60.0	1	1	10	5339.961	2666.4905	731.3267	68.16641
1	3702	60.0	1	1	10	5281.2505	2642.5806	748.8169	68.89496
1	3719	60.0	1	1	10	5298.8696	2645.5386	739.2326	70.57297
1	3782	95.0	1	0	11	2627.2031	2042.3246	983.0958	74.413734
1	3862	60.0	1	1	11	5262.155	2625.5767	741.63055	65.428154
1	3879	60.0	1	1	11	5317.9326	2635.0854	730.65625	68.15507
1	3896	60.0	1	1	11	5301.6655	2621.915	750.2292	75.55807
1	3914	60.0	1	1	11	5291.4023	2653.7905	746.9426	67.926155
1	3931	60.0	1	1	11	5279.2124	2607.349	743.69116	71.91844
1	3948	60.0	1	1	11	5252.173	2609.8633	758.93195	68.92471
1	3965	60.0	1	1	11	5278.4854	2619.1863	742.8316	63.024036
1	4030	95.0	1	0	12	2613.2854	2057.3718	974.9678	75.2519
1	4110	60.1	1	1	12	5286.479	2629.6543	746.52594	74.867004
1	4127	60.0	1	1	12	5390.37	2697.0132	707.4525	64.499115
1	4145	60.0	1	1	12	5356.3237	2669.7383	728.7048	71.743416
1	4162	60.0	1	1	12	5319.0767	2636.2766	743.6437	69.560326
1	4179	60.0	1	1	12	5372.269	2690.0107	701.0088	73.451324
1	4196	60.0	1	1	12	5310.254	2629.5217	743.7263	72.93633
1	4214	60.0	1	1	12	5335.083	2653.3433	725.68365	72.074585
1	4276	95.0	1	0	13	2602.2952	2054.383	994.9225	78.912636
1	4356	60.0	1	1	13	5334.602	2659.927	733.8235	72.5466
1	4373	60.0	1	1	13	5394.1646	2679.456	712.95917	75.34914
1	4391	60.0	1	1	13	5359.441	2665.9092	714.29065	72.4463
1	4408	60.0	1	1	13	5342.0366	2650.4365	728.38794	68.75689
1	4425	60.0	1	1	13	5308.899	2633.3977	730.0311	68.37831
1	4442	60.0	1	1	13	5229.925	2589.3872	775.42737	65.74044
1	4460	60.0	1	1	13	5316.0083	2627.263	738.6693	73.66258
1	4522	95.0	1	0	14	2582.946	2010.665	985.26166	74.82033
1	4602	60.1	1	1	14	5296.401	2618.2366	747.8542	68.23171
1	4620	60.0	1	1	14	5345.856	2634.0461	720.36475	73.20286
1	4637	60.0	1	1	14	5328.3647	2632.646	742.6395	67.95069
1	4654	60.0	1	1	14	5258.6943	2584.8984	744.6832	67.48174
1	4671	60.0	1	1	14	5297.6533	2611.9858	745.901	67.82299
1	4689	60.0	1	1	14	5338.809	2640.1963	718.95154	70.90354
1	4706	60.0	1	1	14	5297.881	2600.6458	749.90094	72.26466
1	4768	95.0	1	0	15	2596.2385	2004.8473	1002.5188	73.63122
1	4848	60.1	1	1	15	5359.63	2633.499	717.73474	75.26191
1	4866	60.0	1	1	15	5315.3145	2588.5757	749.0229	75.25326
1	4883	60.0	1	1	15	5392.0815	2646.2778	725.7433	75.69033
1	4900	60.0	1	1	15	5365.2056	2625.5378	726.6145	65.06741
1	4917	60.0	1	1	15	5328.4053	2605.9497	737.3822	74.56786
1	4935	60.0	1	1	15	5316.1865	2605.0505	743.9654	70.53495
1	4952	60.0	1	1	15	5312.6113	2600.334	749.13104	70.3388
1	5014	95.0	1	0	16	2642.5754	2009.7697	978.9939	75.56626
1	5095	60.1	1	1	16	5344.1104	2575.9875	754.3252	67.00918
1	5112	60.0	1	1	16	5495.761	2648.684	716.4566	74.15482
1	5129	60.0	1	1	16	5453.149	2628.597	728.41205	70.61504
1	5146	60.0	1	1	16	5405.4775	2603.9238	730.5344	72.52258
1	5164	60.0	1	1	16	5447.0176	2626.3232	714.3628	67.851906
1	5181	60.0	1	1	16	5349.6553	2571.6921	757.26587	66.96341
1	5198	60.0	1	1	16	5414.5024	2608.422	728.28094	77.87739
1	5260	95.1	1	0	17	2688.5938	2002.8042	985.0135	76.69051
1	5341	60.0	1	1	17	5521.6943	2608.3726	713.5219	70.74238
1	5358	60.0	1	1	17	5573.805	2622.328	707.70685	70.36304
1	5375	60.0	1	1	17	5600.256	2607.121	714.5357	63.775414
1	5392	60.0	1	1	17	5544.764	2588.3494	732.7912	70.83038
1	5410	60.0	1	1	17	5564.894	2594.4695	717.5647	74.3451
1	5427	60.0	1	1	17	5493.5264	2555.5598	752.0228	65.54847
1	5444	60.0	1	1	17	5539.6924	2567.9502	733.8718	76.14506
1	5507	95.0	1	0	18	2801.1567	1998.8505	987.2349	77.68938
1	5587	60.0	1	1	18	5799.445	2620.6074	705.03705	74.196594
1	5604	60.0	1	1	18	5845.712	2613.8213	702.73486	74.80635
