,1,2,3,4,5,6,7,8,9,10,11,12
A,489,489,489,497,497,497,566,566,566,575,575,575
B,490,490,490,498,498,498,567,567,567,576,576,576
C,491,491,491,499,499,499,568,568,568,577,577,577
D,492,492,492,500,500,500,569,569,569,578,578,578
E,493,493,493,501,501,501,570,570,570,579,579,579
F,494,494,494,547,547,547,571,571,571,AMCPMOO101-161012,AMCPMOO101-161012,AMCPMOO101-161012
G,495,495,495,548,548,548,573,573,573,POWI15,POWI15,POWI15
H,496,496,496,549,549,549,574,574,574,ELWHA-2016-001,ELWHA-2016-001,ELWHA-2016-001
